work_year,job_title,salary,salary_currency,salary_in_usd,company_size
2020,Machine Learning Scientist,260000,USD,260000,S
2020,Machine Learning Engineer,150000,USD,150000,L
2020,Machine Learning Engineer,299000,CNY,43331,M
2020,Machine Learning Manager,157000,CAD,117104,L
2020,Machine Learning Engineer,250000,USD,250000,L
2020,Machine Learning Engineer,138000,USD,138000,S
2020,Machine Learning Infrastructure Engineer,44000,EUR,50180,M
2020,ML Engineer,14000,EUR,15966,S
2020,Machine Learning Engineer,40000,EUR,45618,S
2021,ML Engineer,270000,USD,270000,L
2021,Machine Learning Engineer,40000,EUR,47282,S
2021,Marketing Data Analyst,75000,EUR,88654,L
2021,Machine Learning Engineer,80000,EUR,94564,L
2021,Machine Learning Scientist,225000,USD,225000,L
2021,Machine Learning Scientist,120000,USD,120000,S
2021,Machine Learning Engineer,20000,USD,20000,S
2021,Machine Learning Developer,100000,USD,100000,S
2021,ML Engineer,7000000,JPY,63711,S
2021,ML Engineer,8500000,JPY,77364,S
2021,Machine Learning Engineer,70000,EUR,82744,M
2021,Machine Learning Engineer,125000,USD,125000,S
2021,Machine Learning Engineer,81000,USD,81000,S
2021,Machine Learning Scientist,12000,USD,12000,M
2021,Machine Learning Engineer,74000,USD,74000,S
2021,Machine Learning Engineer,21844,USD,21844,M
2021,Machine Learning Engineer,1799997,INR,24342,L
2021,Machine Learning Infrastructure Engineer,195000,USD,195000,M
2021,Machine Learning Engineer,200000,USD,200000,L
2021,Machine Learning Engineer,21000,EUR,24823,L
2021,Machine Learning Engineer,21000,EUR,24823,M
2021,Machine Learning Engineer,75000,EUR,88654,M
2021,Machine Learning Engineer,180000,PLN,46597,L
2021,Machine Learning Scientist,225000,USD,225000,L
2021,ML Engineer,256000,USD,256000,S
2021,Machine Learning Engineer,185000,USD,185000,L
2021,Machine Learning Engineer,4900000,INR,66265,L
2021,Machine Learning Engineer,85000,USD,85000,S
2021,Machine Learning Engineer,43200,EUR,51064,L
2022,Machine Learning Engineer,189650,USD,189650,M
2022,Machine Learning Engineer,164996,USD,164996,M
2022,Machine Learning Engineer,28500,GBP,37300,L
2022,Machine Learning Engineer,95000,GBP,124333,M
2022,Machine Learning Engineer,75000,GBP,98158,M
2022,Machine Learning Engineer,80000,EUR,87932,M
2022,Machine Learning Scientist,160000,USD,160000,L
2022,Machine Learning Scientist,112300,USD,112300,L
2022,Machine Learning Engineer,189650,USD,189650,M
2022,Machine Learning Engineer,164996,USD,164996,M
2022,ML Engineer,20000,EUR,21983,L
2022,Machine Learning Developer,100000,CAD,78791,M
2022,Machine Learning Engineer,120000,USD,120000,S
2022,Machine Learning Infrastructure Engineer,53000,EUR,58255,L
2022,Machine Learning Engineer,220000,USD,220000,M
2022,Machine Learning Engineer,120000,USD,120000,S
2022,Machine Learning Engineer,65000,USD,65000,S
2022,Machine Learning Engineer,120000,USD,120000,M
2022,Machine Learning Developer,100000,CAD,78791,M
2022,Machine Learning Scientist,153000,USD,153000,M
2022,Machine Learning Engineer,57000,EUR,62651,L
2022,Machine Learning Engineer,121000,AUD,87425,L
2022,Machine Learning Engineer,65000,EUR,71444,S
2022,Machine Learning Engineer,214000,USD,214000,M
2022,Machine Learning Engineer,192600,USD,192600,M
