work_year,job_title,salary,salary_currency,salary_in_usd,company_size
2020,Big Data Engineer,85000,GBP,109024,M
2020,Business Data Analyst,135000,USD,135000,L
2020,Big Data Engineer,100000,EUR,114047,S
2020,BI Data Analyst,98000,USD,98000,M
2020,Business Data Analyst,100000,USD,100000,L
2020,Big Data Engineer,70000,USD,70000,L
2021,BI Data Analyst,150000,USD,150000,L
2021,BI Data Analyst,100000,USD,100000,M
2021,BI Data Analyst,11000000,HUF,36259,L
2021,Big Data Engineer,60000,USD,60000,M
2021,BI Data Analyst,55000,USD,55000,S
2021,Big Data Engineer,1672000,INR,22611,L
2021,Big Data Engineer,18000,USD,18000,S
2021,BI Data Analyst,9272,USD,9272,S
2021,Big Data Engineer,435000,INR,5882,L
2021,Big Data Engineer,1200000,INR,16228,L
2021,Big Data Architect,125000,CAD,99703,M
2021,Business Data Analyst,50000,EUR,59102,L
2021,Staff Data Scientist,105000,USD,105000,M
2022,Business Data Analyst,1400000,INR,18442,M
2022,Business Data Analyst,90000,CAD,70912,L
