work_year,job_title,salary,salary_in_usd,company_size
2020,Data Analyst,72000,72000,L
2020,Data Analyst,85000,85000,L
2020,Data Analyst,8000,8000,L
2020,Data Engineer,4450000,41689,S
2020,Data Engineer,42000,47899,L
2020,Data Engineer,720000,33511,S
2020,Data Engineering Manager,51999,59303,S
2020,Data Analyst,41000,46759,L
2020,Data Engineer,65000,74130,L
2020,Data Analyst,10000,10000,S
2020,Data Engineering Manager,70000,79833,L
2020,Data Engineer,106000,106000,L
2020,Data Engineer,88000,112872,L
2020,Data Engineer,188000,188000,L
2020,Data Engineer,61500,70139,L
2020,Data Analyst,450000,6072,S
2020,Data Analyst,91000,91000,L
2020,Data Engineer,48000,54742,L
2020,Data Engineer,110000,110000,L
2020,Data Engineer,130800,130800,M
2021,Data Analyst,80000,80000,M
2021,Data Analytics Engineer,67000,79197,L
2021,Data Engineer,140000,140000,L
2021,Data Engineer,110000,28476,L
2021,Data Analyst,50000,59102,M
2021,Data Analytics Engineer,110000,110000,L
2021,Data Analyst,80000,80000,S
2021,Data Analyst,75000,75000,L
2021,Data Engineer,150000,150000,L
2021,Data Analyst,62000,62000,L
2021,Data Analyst,37456,51519,L
2021,Data Engineer,115000,115000,S
2021,Data Engineer,150000,150000,M
2021,Data Engineer,2250000,30428,L
2021,Data Engineer,38400,45391,L
2021,Data Analyst,90000,90000,S
2021,Data Engineer,200000,200000,L
2021,Data Analyst,50000,50000,M
2021,Data Analyst,8760,10354,M
2021,Data Analyst,90000,90000,M
2021,Data Analyst,135000,135000,L
2021,Data Engineering Manager,150000,150000,L
2021,Data Engineer,100000,100000,L
2021,Data Engineer,90000,90000,L
2021,Data Engineering Manager,153000,153000,L
2021,Data Analytics Manager,120000,120000,M
2021,Data Engineer,24000,28369,L
2021,Data Engineer,80000,80000,L
2021,Data Architect,150000,150000,L
2021,Data Architect,170000,170000,L
2021,Data Engineer,60000,82528,L
2021,Data Analyst,60000,60000,S
2021,Data Engineering Manager,174000,174000,L
2021,Data Engineer,22000,26005,L
2021,Data Engineer,4000,4000,M
2021,Data Analytics Engineer,50000,50000,M
2021,Data Engineer,65000,76833,S
2021,Data Engineer,165000,165000,M
