work_year,job_title,salary,salary_in_usd,company_size
2020,Data Scientist,70000,79833,L
2020,Data Analyst,72000,72000,L
2020,Data Scientist,11000000,35735,L
2020,Data Scientist,45000,51321,S
2020,Data Scientist,3000000,40481,L
2020,Data Scientist,35000,39916,M
2020,Data Analyst,85000,85000,L
2020,Data Analyst,8000,8000,L
2020,Data Engineer,4450000,41689,S
2020,Data Science Consultant,423000,5707,M
2020,Data Engineer,42000,47899,L
2020,Director of Data Science,325000,325000,L
2020,Data Engineer,720000,33511,S
2020,Data Engineering Manager,51999,59303,S
2020,Data Scientist,60000,68428,L
2020,Data Analyst,41000,46759,L
2020,Data Engineer,65000,74130,L
2020,Data Science Consultant,103000,103000,L
2020,Data Analyst,10000,10000,S
2020,Data Scientist,45760,45760,S
2020,Data Engineering Manager,70000,79833,L
2020,Data Engineer,106000,106000,L
2020,Data Engineer,88000,112872,L
2020,Data Scientist,60000,76958,S
2020,Data Engineer,188000,188000,L
2020,Data Scientist,105000,105000,L
2020,Data Engineer,61500,70139,L
2020,Data Analyst,450000,6072,S
2020,Data Analyst,91000,91000,L
2020,Data Engineer,48000,54742,L
2020,Data Scientist,34000,38776,M
2020,Data Scientist,118000,118000,M
2020,Data Scientist,120000,120000,L
2020,Data Scientist,138350,138350,M
2020,Data Engineer,110000,110000,L
2020,Data Engineer,130800,130800,M
2020,Data Scientist,19000,21669,S
2020,Data Scientist,412000,412000,L
2020,Data Scientist,55000,62726,S
2020,Data Scientist,43200,49268,S
2020,Data Science Manager,190200,190200,M
2020,Data Scientist,105000,105000,S
2020,Data Scientist,80000,91237,S
2020,Data Scientist,55000,62726,S
2020,Data Scientist,37000,42197,S
2021,Data Scientist,45000,53192,L
2021,Data Analyst,80000,80000,M
2021,Data Analytics Engineer,67000,79197,L
2021,Data Engineer,140000,140000,L
2021,Director of Data Science,130000,153667,L
2021,Data Engineer,110000,28476,L
2021,Data Analyst,50000,59102,M
2021,Data Analytics Engineer,110000,110000,L
2021,Data Analyst,80000,80000,S
2021,Data Science Consultant,65000,76833,S
2021,Data Scientist,2200000,29751,L
2021,Data Analyst,75000,75000,L
2021,Data Engineer,150000,150000,L
2021,Data Analyst,62000,62000,L
2021,Data Scientist,73000,73000,L
2021,Data Analyst,37456,51519,L
2021,Data Engineer,115000,115000,S
2021,Data Engineer,150000,150000,M
2021,Data Engineer,2250000,30428,L
2021,Director of Data Engineering,82500,113476,M
2021,Data Engineer,38400,45391,L
2021,Data Scientist,50000,50000,L
2021,Data Science Engineer,34000,40189,M
2021,Data Analyst,90000,90000,S
2021,Data Engineer,200000,200000,L
2021,Data Analyst,50000,50000,M
2021,Data Analyst,8760,10354,M
2021,Data Scientist,700000,9466,S
2021,Data Scientist,42000,49646,M
2021,Data Scientist,100000,100000,S
2021,Data Analyst,90000,90000,M
2021,Data Scientist,80000,80000,M
2021,Data Analyst,135000,135000,L
2021,Data Science Manager,240000,240000,L
2021,Data Engineering Manager,150000,150000,L
2021,Data Scientist,82500,82500,S
2021,Data Engineer,100000,100000,L
2021,Data Engineer,90000,90000,L
2021,Data Engineering Manager,153000,153000,L
2021,Director of Data Science,168000,168000,S
2021,Data Scientist,150000,150000,M
2021,Data Scientist,95000,75774,L
2021,Data Scientist,13400,13400,L
2021,Data Science Manager,144000,144000,L
2021,Data Science Engineer,159500,127221,L
2021,Data Scientist,160000,119059,M
2021,Data Analytics Manager,120000,120000,M
2021,Data Engineer,24000,28369,L
2021,Data Science Consultant,54000,63831,L
2021,Director of Data Science,110000,130026,M
2021,Data Specialist,165000,165000,L
2021,Data Engineer,80000,80000,L
2021,Director of Data Science,250000,250000,L
2021,Data Architect,150000,150000,L
2021,Data Architect,170000,170000,L
2021,Data Engineer,60000,82528,L
2021,Data Analyst,60000,60000,S
2021,Data Engineering Manager,174000,174000,L
2021,Data Scientist,58000,2859,S
2021,Data Scientist,30400000,40038,L
2021,Data Scientist,420000,5679,S
2021,Data Scientist,76760,90734,L
2021,Data Engineer,22000,26005,L
2021,Data Engineer,4000,4000,M
2021,Data Analytics Engineer,50000,50000,M
2021,Data Science Consultant,59000,69741,S
2021,Data Engineer,65000,76833,S
2021,Data Science Manager,152000,152000,L
2021,Data Science Manager,174000,174000,L
2021,Data Scientist,147000,147000,L
2021,Data Science Manager,4000000,54094,L
2021,Data Science Consultant,90000,90000,S
2021,Data Scientist,52000,61467,M
2021,Data Scientist,32000,37825,L
2021,Data Scientist,160000,160000,L
2021,Data Scientist,69600,12901,S
2021,Data Engineer,165000,165000,M
2021,Data Engineer,20000,20000,L
2021,Data Analytics Manager,120000,120000,L
2021,Data Engineer,48000,66022,S
2021,Data Scientist,76760,90734,L
2021,Data Analytics Manager,140000,140000,L
2021,Data Scientist,85000,116914,L
2021,Data Scientist,2500000,33808,M
2021,Data Scientist,40900,56256,L
2021,Data Scientist,110000,87738,S
2021,Data Scientist,75000,88654,L
2021,Data Scientist,135000,135000,L
2021,Data Analyst,90000,71786,M
2021,Director of Data Engineering,200000,200000,L
2021,Data Analyst,200000,200000,L
2021,Data Architect,180000,180000,L
2021,Data Scientist,39600,46809,M
2021,Data Scientist,4000,4000,M
2021,Data Engineer,1600000,21637,M
2021,Data Scientist,130000,103691,L
2021,Data Analyst,80000,80000,L
2021,Data Engineer,110000,110000,L
2021,Data Scientist,165000,165000,L
2021,Data Engineer,52500,72212,L
2021,Data Scientist,31000,36643,L
2021,Data Engineer,108000,12103,M
2021,Data Engineer,70000,96282,L
2021,Data Scientist,115000,115000,L
2021,Data Scientist,90000,90000,S
2021,Data Scientist,2100000,28399,M
2021,Data Analyst,93000,93000,L
2021,Data Engineer,200000,200000,L
2021,Director of Data Science,120000,141846,L
2021,Data Scientist,130000,130000,L
2021,Data Analyst,54000,63831,L
2021,Data Scientist,1250000,16904,S
2021,Data Scientist,21600,25532,S
2021,Data Engineer,93150,93150,M
2021,Data Engineer,111775,111775,M
2021,Data Engineer,250000,28016,M
2021,Data Engineer,55000,65013,M
2021,Data Engineer,72500,72500,L
2021,Data Science Consultant,65000,76833,L
2021,Data Scientist,65720,77684,M
2021,Data Scientist,100000,100000,M
2021,Data Scientist,58000,58000,L
2021,Data Scientist,180000,20171,L
2021,Data Engineer,112000,112000,L
2021,Data Engineer,59000,69741,L
2021,Staff Data Scientist,105000,105000,M
2021,Data Science Manager,7000000,94665,L
2021,Data Scientist,109000,109000,L
2022,Data Engineer,135000,135000,M
2022,Data Analyst,155000,155000,M
2022,Data Analyst,120600,120600,M
2022,Data Scientist,130000,130000,M
2022,Data Scientist,90000,90000,M
2022,Data Engineer,170000,170000,M
2022,Data Engineer,150000,150000,M
2022,Data Analyst,102100,102100,M
2022,Data Analyst,84900,84900,M
2022,Data Scientist,136620,136620,M
2022,Data Scientist,99360,99360,M
2022,Data Scientist,90000,117789,M
2022,Data Scientist,80000,104702,M
2022,Data Scientist,146000,146000,M
2022,Data Scientist,123000,123000,M
2022,Data Engineer,40000,52351,M
2022,Data Analyst,99000,99000,M
2022,Data Analyst,116000,116000,M
2022,Data Analyst,106260,106260,M
2022,Data Analyst,126500,126500,M
2022,Data Engineer,242000,242000,M
2022,Data Engineer,200000,200000,M
2022,Data Scientist,50000,65438,M
2022,Data Scientist,30000,39263,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,40000,52351,M
2022,Data Scientist,165220,165220,M
2022,Data Engineer,35000,45807,M
2022,Data Scientist,120160,120160,M
2022,Data Analyst,90320,90320,M
2022,Data Engineer,181940,181940,M
2022,Data Engineer,132320,132320,M
2022,Data Engineer,220110,220110,M
2022,Data Engineer,160080,160080,M
2022,Data Scientist,180000,180000,L
2022,Data Scientist,120000,120000,L
2022,Data Analyst,124190,124190,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,110000,110000,M
2022,Data Analyst,170000,170000,M
2022,Data Analyst,115500,115500,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Engineer,165400,165400,M
2022,Data Engineer,132320,132320,M
2022,Data Analyst,167000,167000,M
2022,Data Engineer,243900,243900,M
2022,Data Analyst,136600,136600,M
2022,Data Analyst,109280,109280,M
2022,Data Engineer,128875,128875,M
2022,Data Engineer,93700,93700,M
2022,Data Engineer,156600,156600,M
2022,Data Engineer,108800,108800,M
2022,Data Scientist,95550,95550,M
2022,Data Engineer,113000,113000,L
2022,Data Analyst,135000,135000,M
2022,Data Science Manager,161342,161342,M
2022,Data Science Manager,137141,137141,M
2022,Data Scientist,167000,167000,M
2022,Data Scientist,123000,123000,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,50000,65438,M
2022,Data Scientist,150000,150000,M
